"100-7";"P2012017";"1";"?SinA=1";"2017-03-29 10:20:16";"25";"NULL";"0"
"100-7";"P2012017";"2";"?SinA=1";"2017-03-29 13:48:07";"25";"NULL";"0"
"100-7";"P2012017";"3";"?SinA=1";"2017-03-29 15:15:08";"8";"NULL";"0"
"100-7";"P2012017";"4";"?SinA=1";"2017-03-29 15:33:23";"1";"NULL";"0"
"100-7";"P2012017";"5";"?SinA=1";"2017-03-29 15:42:16";"104";"NULL";"0"
"100-7";"P2012017";"6";"?SinA=1";"2017-03-29 15:46:04";"21";"NULL";"0"
"100-7";"P2012017";"7";"?SinA=1";"2017-03-29 15:48:53";"21";"NULL";"0"
"100-7";"P2012017";"8";"?SinA=1";"2017-03-29 15:50:20";"21";"NULL";"0"
"100-7";"P2012017";"9";"?SinA=1";"2017-03-29 16:03:16";"21";"NULL";"0"
"100-7";"P2012017";"10";"?SinA=1";"2017-03-29 16:14:27";"21";"NULL";"0"
"100-7";"P2012017";"11";"?SinA=1";"2017-03-29 16:35:39";"21";"NULL";"0"
"100-7";"P2012017";"12";"?SinA=1";"2017-03-29 16:48:18";"1";"NULL";"0"
"100-7";"P2012017";"13";"?SinA=1";"2017-03-29 16:55:27";"4";"NULL";"0"
"100-7";"P2012017";"14";"?SinA=1";"2017-03-30 10:35:35";"4";"NULL";"0"
"100-7";"P2012017";"15";"?SinA=1";"2017-03-30 10:41:04";"4";"NULL";"0"
"100-7";"P2012017";"16";"?SinA=1";"2017-03-30 10:54:41";"4";"NULL";"0"
"100-7";"P2012017";"17";"?SinA=1";"2017-03-30 11:09:23";"4";"NULL";"0"
"100-7";"P2012017";"18";"?SinA=1";"2017-03-30 11:18:45";"4";"NULL";"0"
"100-7";"P2012017";"19";"?SinA=1";"2017-03-30 11:25:55";"4";"NULL";"0"
"100-7";"P2012017";"20";"?SinA=1";"2017-03-30 11:32:42";"4";"NULL";"0"
"100-7";"P2012017";"21";"?SinA=1";"2017-03-30 11:34:29";"4";"NULL";"0"
"100-7";"P2012017";"22";"?SinA=1";"2017-03-30 11:48:33";"4";"NULL";"0"
"100-7";"P2012017";"23";"?SinA=1";"2017-03-30 11:55:32";"4";"NULL";"0"
"100-7";"P2012017";"24";"?SinA=1";"2017-03-30 12:03:01";"4";"NULL";"0"
"100-7";"P2012017";"25";"?SinA=1";"2017-03-30 12:10:09";"4";"NULL";"0"
"100-7";"P2012017";"26";"?SinA=1";"2017-03-30 12:15:39";"4";"NULL";"0"
"100-7";"P2012017";"27";"?SinA=1";"2017-03-30 12:22:15";"4";"NULL";"0"
"100-7";"P2012017";"28";"?SinA=1";"2017-03-30 12:28:09";"4";"NULL";"0"
"100-7";"P2012017";"29";"?SinA=1";"2017-03-30 12:33:14";"4";"NULL";"0"
"100-7";"P2012017";"30";"?SinA=1";"2017-03-30 12:49:57";"25";"NULL";"0"
"100-7";"P2012017";"31";"?SinA=1";"2017-04-07 11:34:41";"25";"NULL";"0"
"100-7";"P2022017E";"1";"?SinA=1";"2017-06-12 15:02:43";"92";"NULL";"0"
"100-7";"P2022017E";"2";"?SinA=1";"2017-06-13 16:17:35";"92";"NULL";"0"
